Uniprot	Family	Domain	Repeat	Motif	Coiled-coil	Disordered
P47182	0	1	0	0	0	0	1
P40562	2	0	0	0	0	0	2
Q03330	1	1	0	0	0	0	2
P43547	0	1	0	0	0	0	1
P05750	0	2	0	0	0	0	2
P32451	0	2	0	0	0	0	2
P14127	1	0	0	0	0	0	1
P38828	0	1	0	0	0	0	1
P40046	1	0	0	0	0	0	1
Q3E834	1	0	0	0	0	0	1
P42943	1	0	0	0	0	0	1
Q99190	1	0	0	0	0	0	1
Q99222	1	1	0	0	0	0	2
P25659	1	0	0	0	0	0	1
P32364	0	1	0	0	0	0	1
P43617	3	0	0	0	0	0	3
Q12292	0	1	0	0	0	0	1
P53123	1	0	0	0	0	0	1
P39935	1	1	0	0	0	0	2
Q12527	1	0	0	0	0	0	1
P47035	1	0	0	0	0	0	1
Q08726	0	1	0	0	0	0	1
P36100	1	1	0	0	0	0	2
P38891	0	1	0	0	0	0	1
P04803	1	0	0	0	0	0	1
P32473	0	2	0	0	0	0	2
P40502	1	0	0	0	0	0	1
P38622	0	1	0	0	0	0	1
P53728	0	1	0	0	0	0	1
P41815	1	0	0	0	0	0	1
P38746	1	1	0	0	0	0	2
P32794	0	2	0	0	0	0	2
Q07457	1	1	0	0	0	0	2
P38728	1	0	0	0	0	0	1
P53038	1	0	0	0	0	0	1
P36009	1	3	0	0	0	0	4
P38991	0	1	0	0	0	0	1
Q03750	0	1	0	0	0	0	1
P53551	0	2	0	0	0	0	2
P12753	0	1	0	1	0	0	2
Q06337	0	2	0	0	0	0	2
P50947	0	1	0	0	0	0	1
Q03370	1	0	0	0	0	0	1
Q03144	0	1	0	0	0	0	1
Q3E7A4	1	0	0	0	0	0	1
P31382	2	1	0	0	0	0	3
Q99278	1	0	0	0	0	0	1
P36019	0	1	0	0	0	0	1
Q07959	1	0	0	0	0	0	1
Q12525	1	0	0	0	0	0	1
P38779	0	1	0	0	0	0	1
P31109	1	0	0	0	0	0	1
Q07896	2	0	0	0	0	0	2
P53177	1	0	0	0	0	0	1
P53740	1	0	0	0	0	0	1
P38727	1	0	0	0	0	0	1
P23639	0	2	0	0	0	0	2
P04037	0	1	0	0	0	0	1
Q04177	1	0	0	0	0	0	1
Q05131	0	1	0	0	0	0	1
P43544	0	1	0	0	0	0	1
Q06489	1	0	0	0	0	0	1
P07251	0	3	0	0	0	0	3
Q06001	1	0	0	0	0	0	1
P53869	1	0	0	0	0	0	1
P48412	1	0	0	0	0	0	1
P20050	0	1	0	0	0	0	1
Q12102	1	1	0	0	0	0	2
Q05778	1	0	0	0	0	0	1
P26637	2	1	0	0	0	0	3
P0C2I5	2	1	0	0	0	0	3
P11746	0	1	0	0	0	0	1
P0CX14	1	2	0	0	0	0	3
Q07930	1	0	0	0	0	0	1
P53165	0	1	0	0	0	0	1
P32903	1	0	0	0	0	0	1
P36148	1	0	0	0	0	0	1
P43567	0	1	0	0	0	0	1
P53111	1	0	0	0	0	0	1
Q99385	2	0	0	0	0	0	2
P52910	2	1	0	0	0	0	3
Q12084	0	1	0	0	0	0	1
P43572	1	0	0	0	0	0	1
P35197	0	1	0	0	0	0	1
P25578	1	0	0	0	0	0	1
Q12256	1	0	0	0	0	0	1
Q03049	1	0	0	0	0	0	1
Q12746	0	2	0	0	0	0	2
Q02457	0	2	0	0	0	0	2
P40459	1	0	0	0	0	0	1
P40557	0	1	0	0	0	0	1
P40033	1	0	0	0	0	0	1
Q02197	1	0	0	0	0	0	1
P38768	1	0	0	0	0	0	1
A2P2R3	0	1	0	0	0	0	1
Q04081	1	0	0	0	0	0	1
Q92317	0	1	0	0	0	0	1
P53824	0	1	0	0	0	0	1
Q12439	1	0	0	0	0	0	1
P27697	1	0	0	0	0	0	1
P53721	1	0	0	0	0	0	1
Q12505	0	1	0	0	0	0	1
Q03690	2	1	0	0	0	0	3
P06787	0	2	0	0	0	0	2
P21801	0	2	0	0	0	0	2
P0CX65	1	0	0	0	0	0	1
Q07534	3	0	0	0	0	0	3
P53954	2	0	0	0	0	0	2
P53894	0	2	0	0	0	0	2
Q12403	0	1	0	0	0	0	1
P00942	0	1	0	0	0	0	1
P34222	1	0	0	0	0	0	1
P32906	0	1	0	0	0	0	1
P54862	1	0	0	0	0	0	1
P40165	0	1	0	0	0	0	1
Q06098	0	1	0	0	0	0	1
P53840	1	0	0	0	0	0	1
