Uniprot	Family	Domain	Repeat	Motif	Coiled-coil	Disordered
Q03330	1	1	0	0	0	0	2
P38828	0	1	0	0	0	0	1
Q99190	1	0	0	0	0	0	1
P32364	0	1	0	0	0	0	1
P39935	1	1	0	0	0	0	2
P47035	1	0	0	0	0	0	1
P36100	1	1	0	0	0	0	2
P41815	1	0	0	0	0	0	1
Q07457	1	1	0	0	0	0	2
P36009	1	3	0	0	0	0	4
P53551	0	2	0	0	0	0	2
P12753	0	1	0	1	0	0	2
Q06337	0	2	0	0	0	0	2
P50947	0	1	0	0	0	0	1
Q03144	0	1	0	0	0	0	1
P31382	2	1	0	0	0	0	3
P38779	0	1	0	0	0	0	1
P31109	1	0	0	0	0	0	1
Q07896	2	0	0	0	0	0	2
P53177	1	0	0	0	0	0	1
Q04177	1	0	0	0	0	0	1
Q06489	1	0	0	0	0	0	1
P48412	1	0	0	0	0	0	1
Q12102	1	1	0	0	0	0	2
P36148	1	0	0	0	0	0	1
P53111	1	0	0	0	0	0	1
Q99385	2	0	0	0	0	0	2
Q12084	0	1	0	0	0	0	1
P43572	1	0	0	0	0	0	1
P35197	0	1	0	0	0	0	1
Q12256	1	0	0	0	0	0	1
Q12746	0	2	0	0	0	0	2
Q02457	0	2	0	0	0	0	2
P40459	1	0	0	0	0	0	1
P40557	0	1	0	0	0	0	1
Q92317	0	1	0	0	0	0	1
P27697	1	0	0	0	0	0	1
P53721	1	0	0	0	0	0	1
P06787	0	2	0	0	0	0	2
P21801	0	2	0	0	0	0	2
P53954	2	0	0	0	0	0	2
P53894	0	2	0	0	0	0	2
Q12403	0	1	0	0	0	0	1
P34222	1	0	0	0	0	0	1
P53840	1	0	0	0	0	0	1
P38314	0	1	0	0	0	0	1
Q06708	0	1	1	0	0	0	2
P53604	0	1	0	0	0	0	1
Q08204	0	1	0	0	0	0	1
P11484	1	0	0	0	0	0	1
P16550	1	0	0	0	0	0	1
P38086	3	0	0	0	0	0	3
P0CE41	0	1	0	0	0	0	1
P48164	1	0	0	0	0	0	1
Q99271	3	0	0	0	0	0	3
P38786	0	1	0	0	0	0	1
Q08601	0	1	0	0	0	0	1
Q08986	1	0	0	0	0	0	1
P40164	1	0	0	0	0	0	1
P18759	0	4	0	0	0	0	4
P38344	1	0	0	0	0	0	1
Q12100	0	1	0	0	0	0	1
P11792	1	3	0	0	0	0	4
P38121	2	0	0	0	0	0	2
P21375	1	0	0	0	0	0	1
P32527	0	2	0	0	0	0	2
P25382	0	1	7	0	0	0	8
P42935	0	0	5	0	0	0	5
P07170	0	2	0	0	0	0	2
Q12028	1	1	0	0	0	0	2
Q04225	1	0	2	0	0	0	3
Q12211	0	1	0	0	0	0	1
P32528	3	4	0	0	0	0	7
Q01590	2	0	0	0	0	0	2
P40480	0	0	3	0	0	0	3
Q08446	0	2	0	0	0	0	2
P38886	0	1	0	0	0	0	1
P12754	1	0	0	0	0	0	1
P35728	0	2	0	0	0	0	2
Q08421	1	0	0	0	0	0	1
P15442	0	6	0	0	0	0	6
P17157	0	1	0	0	0	0	1
P47029	0	2	0	0	0	0	2
Q01560	0	2	0	0	0	0	2
Q12359	1	0	0	0	0	0	1
Q03503	1	0	0	0	0	0	1
P06634	1	1	0	0	0	0	2
P38628	1	1	0	0	0	0	2
P28737	0	1	0	0	0	0	1
Q06436	0	1	0	0	0	0	1
Q04002	1	1	0	0	0	0	2
Q04697	1	0	0	0	0	0	1
Q06169	1	0	0	0	0	0	1
P48563	2	1	0	0	0	0	3
P53923	1	0	0	0	0	0	1
Q12753	0	1	0	0	0	0	1
Q12118	0	1	2	0	0	0	3
P38820	0	2	0	0	0	0	2
P17891	1	0	0	0	0	0	1
P32899	1	1	0	0	0	0	2
P40094	1	0	0	0	0	0	1
P46672	0	1	0	0	0	0	1
P38219	1	1	0	0	0	0	2
P47083	1	0	0	0	0	0	1
P30771	0	4	0	0	0	0	4
Q06706	1	0	0	0	0	0	1
P54784	0	2	0	0	0	0	2
P33322	3	1	0	0	0	0	4
