uniprot	Family	Domain	Repeat	Motif	Coiled-coil	Disordered	tot
P05750	0	2	0	0	0	0	2
P42943	1	0	0	0	0	0	1
P38891	0	1	0	0	0	0	1
P32473	0	2	0	0	0	0	2
P23639	0	2	0	0	0	0	2
P07251	0	3	0	0	0	0	3
P26637	2	1	0	0	0	0	3
P52910	2	1	0	0	0	0	3
P00942	0	1	0	0	0	0	1
P29509	0	1	0	0	0	0	1
P38791	0	1	0	0	0	0	1
Q04178	0	1	0	0	0	0	1
P21147	0	2	0	0	0	0	2
Q04217	1	3	0	0	0	0	4
P06168	2	0	0	0	0	0	2
P12630	1	0	0	0	0	0	1
P41805	1	0	0	0	0	0	1
P05739	1	0	0	0	0	0	1
P22133	1	1	0	0	0	0	2
P32454	0	2	0	0	0	0	2
P32610	1	0	0	0	0	0	1
P32327	0	6	0	0	0	0	6
P00358	0	2	0	0	0	0	2
P07277	1	0	0	0	0	0	1
Q99312	1	0	0	0	0	0	1
P40106	1	0	0	0	0	0	1
P14065	0	1	0	0	0	0	1
P32324	0	5	0	0	0	0	5
P15274	0	1	0	0	0	0	1
Q07505	0	1	0	0	0	0	1
P19358	0	3	0	0	0	0	3
P12684	3	0	0	0	0	0	3
P38715	0	1	0	0	0	0	1
P32469	0	1	0	0	0	0	1
P37303	0	1	0	0	0	0	1
Q03161	1	0	0	0	0	0	1
P38707	0	2	0	0	0	0	2
P12695	1	2	0	0	0	0	3
P14747	0	1	0	0	0	0	1
P07284	0	2	0	0	0	0	2
P32316	0	2	0	0	0	0	2
P46948	0	2	0	0	0	0	2
P01123	0	1	0	0	0	0	1
P15019	0	1	0	0	0	0	1
P19882	1	0	0	0	0	0	1
P15108	1	1	0	0	0	0	2
P21242	0	2	0	0	0	0	2
P00360	0	2	0	0	0	0	2
P32891	0	2	0	0	0	0	2
Q00764	1	0	0	0	0	0	1
P53081	1	0	0	0	0	0	1
P20436	1	0	0	0	0	0	1
P23254	0	3	0	0	0	0	3
P0CX24	0	1	0	0	0	0	1
P53912	1	0	0	0	0	0	1
Q03705	0	1	0	0	0	0	1
P10659	0	3	0	0	0	0	3
P38986	0	1	0	0	0	0	1
P07256	1	1	0	0	0	0	2
P28777	1	0	0	0	0	0	1
P26783	0	1	0	0	0	0	1
P02400	1	0	0	0	0	0	1
P07703	0	2	0	0	0	0	2
P28241	0	1	0	0	0	0	1
P41921	1	2	0	0	0	0	3
P38115	0	1	0	0	0	0	1
P32340	0	1	0	0	0	0	1
P06106	0	1	0	0	0	0	1
P16862	0	2	0	0	0	0	2
P38230	1	1	0	0	0	0	2
P38972	0	3	0	0	0	0	3
P33299	0	1	0	0	0	0	1
P23638	0	2	0	0	0	0	2
P32565	1	0	2	0	0	0	3
P19881	0	1	0	0	0	0	1
P54115	1	0	0	0	0	0	1
P46681	0	2	0	0	0	0	2
P34077	1	0	0	0	0	0	1
P47117	1	0	0	0	0	0	1
P46673	1	0	0	0	0	0	1
P26785	1	0	0	0	0	0	1
Q05905	0	1	0	0	0	0	1
P39986	1	1	0	0	0	0	2
P16622	0	1	0	0	0	0	1
P39714	1	1	0	0	0	0	2
P38627	0	2	0	0	0	0	2
P38861	1	0	0	0	0	0	1
P38758	0	1	0	0	0	0	1
P38697	0	3	0	0	0	0	3
P21373	1	0	0	0	0	0	1
P09938	0	1	0	0	0	0	1
P14843	0	1	0	0	0	0	1
P47119	0	1	0	0	0	0	1
P19262	0	2	0	0	0	0	2
P08518	1	6	0	0	0	0	7
P09436	1	1	0	0	0	0	2
P00927	1	2	0	0	0	0	3
P37292	0	1	0	0	0	0	1
Q01217	2	2	0	0	0	0	4
P25443	0	2	0	0	0	0	2
P40531	1	0	0	0	0	0	1
P40471	0	1	0	0	0	0	1
Q02326	1	0	0	0	0	0	1
P36136	0	1	0	0	0	0	1
P07245	1	2	0	0	0	0	3
P39522	1	0	0	0	0	0	1
P19097	1	2	0	0	0	0	3
Q04344	0	1	0	0	0	0	1
P38840	0	1	0	0	0	0	1
P38009	1	1	0	0	0	0	2
P14907	1	0	0	0	0	0	1
P28274	0	2	0	0	0	0	2
P53839	0	2	0	0	0	0	2
P40047	1	0	0	0	0	0	1
Q08220	0	2	0	0	0	0	2
P11412	0	2	0	0	0	0	2
P00549	1	1	0	0	0	0	2
Q01532	1	0	0	0	0	0	1
P05150	0	2	0	0	0	0	2
P04807	0	2	0	0	0	0	2
P28789	0	2	0	0	0	0	2
Q04430	1	0	0	0	0	0	1
P10964	0	5	0	0	0	0	5
P47176	0	1	0	0	0	0	1
Q12335	0	1	0	0	0	0	1
P31116	0	2	0	0	0	0	2
P0CX40	1	0	0	0	0	0	1
Q01976	0	1	0	0	0	0	1
Q04894	1	1	0	0	0	0	2
P10664	1	1	0	0	0	0	2
P38625	0	3	0	0	0	0	3
P0CX53	0	2	0	0	0	0	2
Q12109	1	0	0	0	0	0	1
P00924	0	2	0	0	0	0	2
P43588	2	0	0	0	0	0	2
P39079	1	0	0	0	0	0	1
P21524	1	2	0	0	0	0	3
P04840	1	0	0	0	0	0	1
P17649	0	1	0	0	0	0	1
P48589	0	1	0	0	0	0	1
P05738	0	2	0	0	0	0	2
Q02199	4	0	0	0	0	0	4
P21954	0	1	0	0	0	0	1
P38063	0	2	0	0	0	0	2
P39077	1	0	0	0	0	0	1
P12683	3	0	0	0	0	0	3
P16140	0	2	0	0	0	0	2
P38902	0	1	0	0	0	0	1
P53723	1	0	0	0	0	0	1
P38197	0	1	0	0	0	0	1
P38792	0	2	0	0	0	0	2
Q04491	0	0	2	0	0	0	2
P00830	0	2	0	0	0	0	2
P07806	1	1	0	0	0	0	2
P36007	1	0	0	0	0	0	1
Q04062	0	1	0	0	0	0	1
P33767	1	0	0	0	0	0	1
P17255	1	5	0	0	0	0	6
P20967	3	1	0	0	0	0	4
P09624	0	2	0	0	0	0	2
P38328	0	0	2	0	0	0	2
P40008	1	0	0	0	0	0	1
P14904	1	0	0	0	0	0	1
P40510	0	2	0	0	0	0	2
P08067	1	1	0	0	0	0	2
P33204	1	0	0	0	0	0	1
Q03862	0	1	0	0	0	0	1
P89886	1	0	0	0	0	0	1
P38765	1	0	0	0	0	0	1
P29453	0	1	0	0	0	0	1
P05626	1	0	0	0	0	0	1
Q05016	0	1	0	0	0	0	1
P09440	1	2	0	0	0	0	3
P32481	0	3	0	0	0	0	3
P38720	0	2	0	0	0	0	2
P22141	0	1	0	0	0	0	1
P32905	2	0	0	0	0	0	2
P00812	0	1	0	0	0	0	1
P32381	1	0	0	0	0	0	1
P41338	0	2	0	0	0	0	2
P38075	0	2	0	0	0	0	2
P14540	0	1	0	0	0	0	1
P37302	2	0	0	0	0	0	2
P38011	0	0	6	0	0	0	6
P40185	0	1	0	0	0	0	1
