Uniprot	Family	Domain	Repeat	Motif	Coiled-coil	Disordered
Q06624	0	1	0	0	0	0	1
P32769	0	3	0	0	0	0	3
Q05979	0	1	0	0	0	0	1
P17967	0	3	0	0	0	0	3
P23287	0	1	0	0	0	0	1
P32915	1	1	0	0	0	0	2
P23202	0	2	0	0	0	0	2
P35127	0	1	0	0	0	0	1
P08678	1	2	3	0	0	0	6
P20435	1	0	0	0	0	0	1
P48415	0	3	0	0	0	0	3
P35176	0	1	0	0	0	0	1
P15873	0	2	0	0	0	0	2
P02829	1	1	0	0	0	0	2
P22936	0	1	0	0	0	0	1
P0CX46	0	2	0	0	0	0	2
Q02793	0	0	2	0	0	0	2
P0CX56	1	0	0	0	0	0	1
Q03629	0	1	0	0	0	0	1
P05756	0	2	0	0	0	0	2
P39516	1	0	0	0	0	0	1
P38836	0	1	0	0	0	0	1
P25359	0	1	0	0	0	0	1
P40579	0	1	0	0	0	0	1
Q05468	1	0	0	0	0	0	1
P36059	1	0	0	0	0	0	1
P38858	0	1	0	0	0	0	1
O13297	0	1	0	0	0	0	1
P53846	1	0	0	0	0	0	1
Q02776	1	0	0	0	0	0	1
P51996	0	1	0	0	0	0	1
P0CX35	3	2	0	0	0	0	5
P18544	0	1	0	0	0	0	1
P33307	1	2	0	0	0	0	3
Q12029	1	0	0	0	0	0	1
P22023	1	0	0	0	0	0	1
P38732	1	0	0	0	0	0	1
P25368	1	0	0	0	0	0	1
P38777	0	1	0	0	0	0	1
Q12449	1	1	0	0	0	0	2
P32266	0	1	0	0	0	0	1
P20049	1	0	0	0	0	0	1
O14455	1	0	0	0	0	0	1
P43561	0	3	0	0	0	0	3
Q07478	1	1	0	0	0	0	2
Q06493	1	0	0	0	0	0	1
P01119	0	1	0	0	0	0	1
P47045	1	0	0	0	0	0	1
P24000	1	0	0	0	0	0	1
P40527	4	0	0	0	0	0	4
P53072	0	1	0	0	0	0	1
P38912	0	1	0	0	0	0	1
P38845	1	0	0	0	0	0	1
P32604	0	2	0	0	0	0	2
P32783	1	0	0	0	0	0	1
Q02884	0	1	0	0	0	0	1
P40467	0	2	0	0	0	0	2
P39010	1	0	2	0	0	0	3
P48439	1	0	0	0	0	0	1
P53199	1	0	0	0	0	0	1
P53753	1	0	0	0	0	0	1
P00937	0	2	0	0	0	0	2
P0CX47	1	1	0	0	0	0	2
P25365	0	0	1	0	0	0	1
P47096	0	1	0	0	0	0	1
